,评论,分类
8022,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
8023,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8024,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
8025,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
8026,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8027,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
8028,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8029,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
8030,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
8031,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8032,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
8033,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
8034,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
8035,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
8036,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8037,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
8038,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8039,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
8040,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
8041,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
8042,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
8043,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8044,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
8045,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
8046,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8047,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
8048,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8049,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
8050,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
8051,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8052,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
8053,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
8054,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
8055,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
8056,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8057,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
8058,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8059,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
8060,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
8061,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
8062,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
8063,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8064,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
8065,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
8066,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8067,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
8068,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8069,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
8070,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
8071,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8072,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
8073,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
8074,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
8075,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
8076,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8077,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
8078,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8079,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
8080,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
8081,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
8082,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
8083,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8084,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
8085,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
8086,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8087,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
8088,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8089,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
8090,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
8091,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8092,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
8093,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
8094,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
8095,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
8096,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8097,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
8098,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8099,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
8100,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
8101,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
8102,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
8103,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8104,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
8105,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
8106,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
8107,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
8108,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8109,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
8110,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
8111,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
8112,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
8113,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
8114,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
8115,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
8116,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8117,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
8118,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
8119,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
8120,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
8121,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
